location,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28,2022-06-04,2022-06-11,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24,2022-10-01,2022-10-08,2022-10-15,2022-10-22,2022-10-29,2022-11-05,2022-11-12,2022-11-19,2022-11-26,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18,2023-02-25,2023-03-04,2023-03-11,2023-03-18,2023-03-25,2023-04-01,2023-04-08,2023-04-15,2023-04-22,2023-04-29,2023-05-06,2023-05-13,2023-05-20,2023-05-27,2023-06-03,2023-06-10,2023-06-17,2023-06-24,2023-07-01,2023-07-08,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29,2024-07-06,2024-07-13,2024-07-20,2024-07-27,2024-08-03,2024-08-10,2024-08-17,2024-08-24,2024-08-31,2024-09-07,2024-09-14,2024-09-21,2024-09-28,2024-10-05,2024-10-12,2024-10-19,2024-10-26,2024-11-02,2024-11-09,2024-11-16,2024-11-23,2024-11-30,2024-12-07,2024-12-14,2024-12-21,2024-12-28,2025-01-04,2025-01-11,2025-01-18,2025-01-25,2025-02-01,2025-02-08,2025-02-15,2025-02-22,2025-03-01,2025-03-08,2025-03-15,2025-03-22,2025-03-29,2025-04-05
01,9.0,21.0,10.0,26.0,35.0,23.0,17.0,25.0,23.0,11.0,25.0,9.0,19.0,12.0,15.0,13.0,13.0,15.0,15.0,7.0,8.0,15.0,33.0,5.0,9.0,9.0,8.0,5.0,10.0,13.0,12.0,22.0,20.0,28.0,42.0,87.0,141.0,271.0,402.0,353.0,262.0,268.0,417.0,256.0,176.0,152.0,147.0,123.0,99.0,57.0,42.0,35.0,29.0,30.0,29.0,15.0,17.0,22.0,19.0,27.0,17.0,16.0,20.0,11.0,4.0,14.0,10.0,11.0,25.0,14.0,5.0,11.0,11.0,3.0,14.0,15.0,30.0,13.0,9.0,7.0,12.0,12.0,5.0,20.0,8.0,20.0,20.0,24.0,30.0,30.0,37.0,56.0,73.0,71.0,84.0,110.0,143.0,269.0,318.0,348.0,226.0,169.0,142.0,103.0,109.0,120.0,87.0,81.0,85.0,65.0,70.0,60.0,39.0,19.0,17.0,15.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,13.0,32.0,44.0,50.0,65.0,102.0,193.0,437.0,667.0,690.0,477.0,490.0,632.0,742.0,663.0,415.0,283.0,330.0,315.0,273.0,193.0,169.0,75.0
02,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,6.0,3.0,18.0,4.0,2.0,6.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,11.0,15.0,14.0,36.0,65.0,53.0,73.0,51.0,43.0,43.0,32.0,7.0,7.0,5.0,3.0,1.0,2.0,5.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,5.0,6.0,7.0,10.0,14.0,21.0,30.0,33.0,39.0,17.0,14.0,15.0,14.0,4.0,5.0,4.0,5.0,6.0,9.0,7.0,8.0,11.0,2.0,4.0,11.0,5.0,9.0,10.0,8.0,7.0,4.0,2.0,5.0,3.0,6.0,1.0,2.0,3.0,3.0,3.0,6.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,8.0,5.0,9.0,5.0,9.0,17.0,25.0,18.0,32.0,62.0,39.0,32.0,25.0,28.0,26.0,50.0,47.0,56.0,58.0,32.0,21.0,26.0,9.0
04,53.0,56.0,80.0,80.0,79.0,104.0,120.0,99.0,116.0,93.0,131.0,156.0,170.0,194.0,225.0,199.0,209.0,93.0,55.0,35.0,16.0,14.0,9.0,13.0,15.0,5.0,8.0,14.0,16.0,14.0,4.0,7.0,9.0,10.0,13.0,11.0,24.0,26.0,79.0,134.0,308.0,570.0,799.0,779.0,568.0,580.0,656.0,386.0,163.0,118.0,57.0,62.0,56.0,38.0,43.0,49.0,43.0,55.0,36.0,23.0,40.0,46.0,37.0,41.0,34.0,55.0,55.0,65.0,65.0,61.0,50.0,48.0,29.0,34.0,28.0,13.0,15.0,11.0,9.0,6.0,17.0,13.0,8.0,10.0,8.0,21.0,16.0,21.0,52.0,49.0,51.0,132.0,187.0,209.0,276.0,388.0,602.0,946.0,1106.0,907.0,716.0,682.0,616.0,343.0,183.0,204.0,204.0,182.0,125.0,134.0,106.0,97.0,81.0,85.0,79.0,105.0,75.0,73.0,66.0,66.0,68.0,53.0,69.0,44.0,23.0,29.0,29.0,16.0,12.0,10.0,25.0,17.0,25.0,26.0,14.0,24.0,18.0,14.0,40.0,4.0,14.0,187.0,129.0,262.0,329.0,475.0,541.0,829.0,960.0,1492.0,2241.0,2742.0,1419.0,1038.0,960.0,807.0,785.0,679.0,620.0,621.0,468.0,359.0,307.0,222.0,99.0
05,23.0,22.0,37.0,57.0,60.0,62.0,74.0,56.0,74.0,43.0,34.0,33.0,17.0,28.0,15.0,14.0,17.0,19.0,10.0,16.0,8.0,5.0,19.0,10.0,1.0,3.0,7.0,3.0,3.0,6.0,6.0,5.0,7.0,10.0,22.0,37.0,47.0,77.0,134.0,203.0,214.0,407.0,466.0,346.0,251.0,201.0,204.0,158.0,105.0,65.0,44.0,20.0,33.0,25.0,30.0,33.0,23.0,15.0,18.0,27.0,15.0,17.0,8.0,11.0,9.0,12.0,9.0,14.0,6.0,1.0,5.0,12.0,6.0,4.0,8.0,6.0,5.0,11.0,10.0,7.0,9.0,6.0,8.0,7.0,6.0,10.0,17.0,15.0,18.0,13.0,18.0,24.0,17.0,57.0,24.0,41.0,53.0,96.0,187.0,234.0,223.0,227.0,275.0,245.0,291.0,258.0,275.0,278.0,247.0,190.0,103.0,82.0,60.0,47.0,30.0,60.0,14.0,12.0,0.0,2.0,6.0,5.0,5.0,5.0,1.0,4.0,5.0,7.0,8.0,4.0,6.0,4.0,4.0,5.0,7.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,6.0,11.0,13.0,8.0,11.0,32.0,42.0,59.0,127.0,212.0,158.0,223.0,388.0,513.0,745.0,514.0,354.0,350.0,325.0,229.0,164.0,105.0,62.0
06,28.0,11.0,23.0,34.0,40.0,51.0,61.0,79.0,96.0,104.0,148.0,213.0,206.0,277.0,355.0,412.0,432.0,391.0,305.0,238.0,193.0,115.0,99.0,61.0,47.0,38.0,39.0,35.0,29.0,33.0,36.0,21.0,35.0,68.0,92.0,87.0,121.0,199.0,416.0,858.0,1499.0,2631.0,3159.0,2435.0,1614.0,1596.0,1423.0,913.0,411.0,208.0,126.0,115.0,93.0,73.0,79.0,62.0,47.0,60.0,36.0,29.0,45.0,33.0,37.0,26.0,22.0,33.0,24.0,23.0,48.0,43.0,36.0,27.0,49.0,26.0,54.0,39.0,37.0,43.0,35.0,31.0,29.0,38.0,42.0,41.0,46.0,46.0,45.0,60.0,50.0,76.0,97.0,231.0,372.0,459.0,683.0,868.0,1077.0,1763.0,1810.0,1470.0,1075.0,1096.0,732.0,547.0,464.0,342.0,302.0,266.0,207.0,188.0,175.0,180.0,151.0,179.0,157.0,156.0,77.0,49.0,57.0,42.0,56.0,59.0,58.0,64.0,49.0,37.0,39.0,35.0,29.0,31.0,19.0,32.0,18.0,20.0,15.0,25.0,17.0,26.0,30.0,30.0,75.0,137.0,110.0,159.0,313.0,479.0,693.0,1064.0,1407.0,2445.0,3498.0,3851.0,3074.0,3490.0,3905.0,4418.0,3545.0,2683.0,1976.0,1426.0,1048.0,969.0,694.0,565.0,404.0
08,27.0,16.0,24.0,21.0,38.0,55.0,82.0,121.0,104.0,139.0,179.0,163.0,258.0,173.0,120.0,87.0,75.0,39.0,25.0,9.0,13.0,11.0,9.0,9.0,8.0,12.0,10.0,10.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,14.0,27.0,35.0,58.0,107.0,157.0,163.0,235.0,255.0,399.0,315.0,158.0,99.0,37.0,26.0,38.0,27.0,17.0,13.0,19.0,9.0,12.0,10.0,6.0,7.0,18.0,12.0,9.0,7.0,7.0,9.0,10.0,5.0,3.0,6.0,3.0,7.0,3.0,8.0,4.0,3.0,3.0,1.0,0.0,4.0,3.0,7.0,2.0,8.0,8.0,9.0,15.0,16.0,19.0,31.0,52.0,102.0,137.0,126.0,153.0,234.0,252.0,367.0,308.0,286.0,197.0,229.0,196.0,196.0,137.0,129.0,93.0,80.0,96.0,97.0,68.0,49.0,55.0,26.0,23.0,23.0,12.0,6.0,11.0,10.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,6.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,14.0,25.0,20.0,29.0,31.0,67.0,90.0,129.0,179.0,475.0,760.0,499.0,441.0,456.0,543.0,622.0,583.0,481.0,381.0,311.0,215.0,162.0,121.0,86.0
09,0.0,1.0,7.0,4.0,8.0,18.0,25.0,26.0,47.0,45.0,52.0,57.0,76.0,70.0,75.0,36.0,20.0,36.0,14.0,6.0,8.0,5.0,3.0,6.0,3.0,3.0,1.0,2.0,8.0,4.0,3.0,5.0,3.0,2.0,2.0,6.0,11.0,36.0,38.0,52.0,103.0,183.0,426.0,394.0,395.0,270.0,241.0,170.0,79.0,36.0,33.0,15.0,15.0,14.0,17.0,10.0,19.0,10.0,13.0,12.0,22.0,11.0,8.0,9.0,7.0,6.0,9.0,12.0,4.0,6.0,6.0,6.0,6.0,1.0,2.0,3.0,5.0,4.0,7.0,4.0,8.0,6.0,1.0,9.0,16.0,8.0,4.0,3.0,1.0,7.0,12.0,5.0,22.0,33.0,57.0,74.0,120.0,115.0,194.0,167.0,159.0,128.0,156.0,111.0,142.0,119.0,171.0,212.0,165.0,99.0,83.0,89.0,88.0,62.0,57.0,64.0,34.0,22.0,10.0,6.0,4.0,5.0,2.0,3.0,1.0,7.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,5.0,6.0,10.0,4.0,5.0,4.0,10.0,13.0,24.0,41.0,148.0,294.0,247.0,245.0,378.0,478.0,538.0,499.0,364.0,278.0,187.0,147.0,118.0,77.0,53.0
10,0.0,0.0,0.0,1.0,7.0,4.0,4.0,3.0,7.0,38.0,17.0,7.0,4.0,3.0,4.0,3.0,9.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,13.0,53.0,39.0,86.0,30.0,25.0,29.0,42.0,45.0,12.0,6.0,6.0,10.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0,18.0,24.0,60.0,48.0,34.0,32.0,28.0,25.0,25.0,36.0,24.0,33.0,26.0,18.0,16.0,15.0,19.0,7.0,8.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,5.0,15.0,15.0,43.0,96.0,185.0,87.0,66.0,88.0,140.0,157.0,160.0,100.0,88.0,55.0,45.0,33.0,17.0,15.0
11,0.0,1.0,0.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,11.0,33.0,44.0,36.0,58.0,66.0,41.0,23.0,21.0,32.0,17.0,6.0,8.0,7.0,9.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,10.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,5.0,8.0,11.0,14.0,20.0,46.0,57.0,55.0,37.0,27.0,21.0,20.0,14.0,19.0,18.0,15.0,36.0,14.0,20.0,18.0,23.0,17.0,14.0,8.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,6.0,2.0,6.0,20.0,38.0,96.0,44.0,58.0,207.0,197.0,259.0,83.0,89.0,113.0,112.0,92.0,64.0,79.0,34.0
12,47.0,47.0,55.0,59.0,47.0,58.0,84.0,78.0,83.0,148.0,141.0,164.0,213.0,278.0,371.0,517.0,665.0,551.0,461.0,302.0,208.0,161.0,124.0,89.0,74.0,69.0,74.0,60.0,65.0,53.0,50.0,79.0,78.0,78.0,113.0,101.0,124.0,241.0,290.0,453.0,517.0,743.0,921.0,789.0,846.0,1024.0,1244.0,1325.0,702.0,593.0,423.0,354.0,300.0,235.0,215.0,178.0,179.0,211.0,158.0,165.0,185.0,130.0,152.0,137.0,128.0,132.0,140.0,141.0,148.0,166.0,148.0,165.0,158.0,144.0,138.0,110.0,132.0,131.0,133.0,152.0,160.0,172.0,150.0,156.0,172.0,168.0,227.0,213.0,291.0,313.0,443.0,462.0,652.0,701.0,743.0,761.0,843.0,989.0,1352.0,1414.0,1070.0,908.0,835.0,711.0,828.0,678.0,619.0,538.0,536.0,516.0,423.0,404.0,312.0,326.0,239.0,262.0,141.0,85.0,91.0,97.0,77.0,81.0,80.0,64.0,62.0,56.0,78.0,59.0,41.0,54.0,42.0,45.0,41.0,38.0,55.0,79.0,44.0,46.0,53.0,17.0,134.0,114.0,110.0,360.0,375.0,423.0,605.0,700.0,872.0,1251.0,2081.0,2862.0,2411.0,2663.0,3158.0,3627.0,3327.0,2436.0,1982.0,1548.0,1243.0,1072.0,918.0,703.0,557.0
13,41.0,48.0,44.0,27.0,38.0,35.0,33.0,45.0,33.0,42.0,46.0,36.0,44.0,60.0,55.0,62.0,66.0,48.0,41.0,27.0,35.0,28.0,27.0,28.0,39.0,33.0,19.0,13.0,26.0,20.0,43.0,46.0,55.0,77.0,109.0,144.0,137.0,216.0,250.0,263.0,236.0,258.0,342.0,209.0,179.0,158.0,184.0,189.0,108.0,80.0,71.0,204.0,83.0,75.0,60.0,54.0,51.0,54.0,62.0,53.0,49.0,29.0,44.0,43.0,33.0,50.0,30.0,37.0,46.0,55.0,41.0,38.0,38.0,23.0,18.0,17.0,16.0,19.0,28.0,19.0,28.0,34.0,21.0,34.0,30.0,29.0,34.0,39.0,31.0,40.0,56.0,116.0,133.0,156.0,225.0,261.0,442.0,746.0,1132.0,758.0,627.0,486.0,455.0,354.0,308.0,259.0,192.0,203.0,156.0,102.0,81.0,64.0,60.0,57.0,40.0,35.0,16.0,7.0,6.0,3.0,5.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,3.0,5.0,2.0,1.0,0.0,5.0,8.0,14.0,41.0,44.0,47.0,56.0,88.0,214.0,388.0,800.0,1144.0,823.0,992.0,1186.0,1373.0,1301.0,734.0,450.0,437.0,395.0,361.0,234.0,179.0,114.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,7.0,4.0,2.0,3.0,11.0,9.0,4.0,3.0,4.0,6.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,3.0,7.0,7.0,21.0,15.0,12.0,9.0,13.0,14.0,29.0,34.0,10.0,9.0,0.0,9.0,8.0,10.0,4.0,5.0,1.0,3.0,4.0,1.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,4.0,6.0,8.0,9.0,10.0,8.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,7.0,5.0,8.0,5.0,10.0,10.0,15.0,13.0,13.0,14.0,16.0,29.0,26.0,23.0,32.0,24.0,28.0,32.0,40.0,25.0,23.0,30.0,5.0,17.0,10.0,14.0,16.0,9.0,18.0,6.0,7.0,9.0,12.0,5.0,14.0,6.0,3.0,2.0,2.0,6.0,1.0,3.0,4.0,2.0,3.0,4.0,6.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,7.0,15.0,8.0,14.0,20.0,34.0,42.0,57.0,125.0,113.0,91.0,88.0,70.0,83.0,79.0,86.0,67.0,63.0,56.0,42.0,31.0,39.0
16,1.0,1.0,3.0,1.0,13.0,16.0,14.0,19.0,20.0,16.0,17.0,15.0,13.0,16.0,12.0,3.0,10.0,7.0,5.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,16.0,11.0,56.0,141.0,183.0,185.0,286.0,203.0,223.0,112.0,46.0,35.0,17.0,3.0,4.0,8.0,3.0,3.0,4.0,6.0,3.0,3.0,5.0,2.0,3.0,7.0,5.0,9.0,1.0,2.0,2.0,1.0,6.0,1.0,7.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,11.0,8.0,19.0,46.0,67.0,115.0,163.0,157.0,102.0,88.0,69.0,71.0,61.0,59.0,90.0,61.0,70.0,68.0,55.0,45.0,31.0,12.0,15.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,6.0,8.0,12.0,31.0,63.0,77.0,107.0,188.0,333.0,242.0,136.0,123.0,99.0,159.0,175.0,152.0,150.0,124.0,90.0,99.0,83.0,50.0,9.0
17,8.0,22.0,26.0,21.0,34.0,58.0,114.0,88.0,105.0,79.0,106.0,97.0,108.0,123.0,98.0,49.0,41.0,16.0,23.0,19.0,7.0,10.0,11.0,4.0,9.0,13.0,11.0,12.0,16.0,10.0,5.0,4.0,15.0,10.0,12.0,28.0,39.0,106.0,155.0,256.0,386.0,801.0,1102.0,956.0,733.0,578.0,555.0,433.0,173.0,68.0,73.0,28.0,31.0,28.0,31.0,24.0,16.0,12.0,30.0,37.0,25.0,37.0,25.0,19.0,24.0,30.0,25.0,37.0,22.0,21.0,20.0,13.0,8.0,11.0,10.0,12.0,10.0,12.0,13.0,9.0,12.0,9.0,15.0,18.0,20.0,18.0,21.0,18.0,27.0,21.0,34.0,54.0,71.0,102.0,165.0,205.0,253.0,464.0,576.0,511.0,380.0,335.0,275.0,272.0,250.0,262.0,318.0,331.0,267.0,250.0,212.0,201.0,182.0,186.0,122.0,88.0,43.0,13.0,10.0,9.0,9.0,8.0,9.0,6.0,6.0,8.0,5.0,4.0,3.0,4.0,6.0,1.0,3.0,3.0,1.0,6.0,7.0,4.0,2.0,1.0,5.0,12.0,27.0,36.0,34.0,86.0,83.0,106.0,240.0,488.0,1143.0,1561.0,1392.0,1338.0,1742.0,2167.0,2368.0,2082.0,1704.0,1310.0,961.0,700.0,507.0,346.0,223.0
18,31.0,53.0,42.0,59.0,108.0,119.0,125.0,115.0,109.0,93.0,64.0,72.0,49.0,35.0,45.0,31.0,27.0,8.0,18.0,17.0,12.0,8.0,9.0,7.0,10.0,10.0,4.0,11.0,15.0,18.0,26.0,26.0,32.0,38.0,46.0,54.0,69.0,103.0,141.0,136.0,235.0,457.0,831.0,843.0,731.0,615.0,566.0,361.0,173.0,100.0,71.0,41.0,41.0,33.0,42.0,45.0,32.0,35.0,21.0,39.0,18.0,17.0,10.0,18.0,21.0,18.0,19.0,16.0,15.0,13.0,13.0,5.0,9.0,2.0,2.0,4.0,4.0,7.0,9.0,3.0,11.0,6.0,5.0,9.0,9.0,12.0,8.0,23.0,25.0,33.0,43.0,58.0,95.0,100.0,149.0,181.0,260.0,374.0,556.0,521.0,443.0,402.0,428.0,453.0,487.0,439.0,419.0,390.0,414.0,275.0,174.0,175.0,166.0,112.0,61.0,46.0,36.0,12.0,11.0,4.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,4.0,6.0,3.0,4.0,3.0,3.0,3.0,14.0,28.0,26.0,32.0,41.0,65.0,140.0,284.0,590.0,814.0,511.0,542.0,788.0,1295.0,1711.0,1670.0,1536.0,1156.0,871.0,580.0,392.0,237.0,120.0
19,46.0,40.0,57.0,56.0,54.0,49.0,43.0,36.0,25.0,25.0,20.0,17.0,20.0,17.0,10.0,6.0,6.0,9.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,9.0,6.0,7.0,9.0,15.0,16.0,20.0,37.0,104.0,208.0,231.0,325.0,328.0,320.0,218.0,96.0,43.0,47.0,13.0,15.0,9.0,11.0,6.0,12.0,7.0,7.0,4.0,2.0,5.0,0.0,12.0,5.0,5.0,3.0,4.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,3.0,1.0,4.0,4.0,10.0,13.0,14.0,27.0,44.0,43.0,50.0,90.0,99.0,94.0,84.0,95.0,76.0,107.0,112.0,124.0,157.0,180.0,178.0,115.0,94.0,90.0,82.0,63.0,53.0,22.0,9.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,13.0,23.0,42.0,118.0,171.0,263.0,237.0,304.0,457.0,596.0,498.0,398.0,351.0,265.0,185.0,98.0,52.0,40.0
20,22.0,25.0,34.0,28.0,40.0,31.0,49.0,28.0,32.0,19.0,26.0,19.0,8.0,7.0,7.0,2.0,2.0,2.0,0.0,3.0,4.0,3.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,4.0,16.0,19.0,34.0,44.0,64.0,153.0,301.0,255.0,219.0,182.0,185.0,125.0,54.0,40.0,21.0,12.0,9.0,3.0,8.0,4.0,6.0,7.0,6.0,9.0,5.0,7.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,13.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,6.0,3.0,4.0,5.0,10.0,3.0,7.0,5.0,5.0,10.0,18.0,26.0,37.0,37.0,43.0,92.0,93.0,93.0,101.0,66.0,68.0,113.0,139.0,111.0,82.0,87.0,84.0,95.0,66.0,66.0,42.0,27.0,40.0,27.0,9.0,5.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,7.0,11.0,17.0,20.0,35.0,90.0,120.0,225.0,353.0,236.0,200.0,216.0,388.0,479.0,519.0,401.0,305.0,251.0,164.0,118.0,67.0,40.0
